time,open,high,low,close,volume
1763128800,1.16376,1.16384,1.1606,1.16141,36221
1763143200,1.16142,1.16236,1.16098,1.1622,13910
1763330400,1.16199,1.16246,1.16051,1.16066,11208
1763344800,1.16064,1.16066,1.15964,1.16004,9106
1763359200,1.16004,1.1615,1.15952,1.16014,20079
1763373600,1.16015,1.16083,1.15886,1.15912,21080
1763388000,1.15913,1.1602,1.1582,1.15938,25153
1763402400,1.15939,1.15955,1.15826,1.15923,13404
1763416800,1.15923,1.15942,1.15846,1.15909,9253
1763431200,1.1591,1.16038,1.15882,1.15978,12199
1763445600,1.15978,1.16064,1.15872,1.15894,23734
1763460000,1.15893,1.16022,1.15796,1.15968,24368
1763474400,1.15968,1.16078,1.15715,1.15756,33967
1763488800,1.15758,1.15872,1.15752,1.15807,14130
1763503200,1.15818,1.15852,1.1576,1.15769,10862
1763517600,1.15768,1.15908,1.15725,1.1589,11729
1763532000,1.15891,1.15975,1.15656,1.15734,24736
1763546400,1.15734,1.1591,1.15676,1.15729,25603
1763560800,1.15727,1.15738,1.1526,1.15332,33940
1763575200,1.15332,1.15389,1.15178,1.15384,20899
1763589600,1.1539,1.15423,1.15224,1.15229,11393
1763604000,1.15228,1.15237,1.15101,1.15158,13408
1763618400,1.15156,1.15278,1.15114,1.15275,24664
1763632800,1.15276,1.15389,1.15024,1.15278,34628
1763647200,1.15277,1.155,1.15201,1.15288,47511
1763661600,1.15287,1.15407,1.15239,1.15285,16990
1763676000,1.15275,1.15384,1.15236,1.15325,13018
1763690400,1.15326,1.15422,1.15324,1.15352,12278
1763704800,1.15352,1.15525,1.1525,1.15252,30300
1763719200,1.15251,1.1527,1.14966,1.15208,37383
1763733600,1.15211,1.15236,1.14912,1.15072,40679
1763748000,1.15074,1.1521,1.1502,1.1513,16139
1763935200,1.15193,1.15193,1.15019,1.15106,8237
1763949600,1.15105,1.15284,1.15104,1.15226,10884
1763964000,1.15226,1.15344,1.15097,1.15298,22644
1763978400,1.15298,1.15506,1.15298,1.15385,23042
1763992800,1.15386,1.15413,1.15116,1.1518,27003
